name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
Mrk 110,Bentz2013,24.3,17.139573075084183,19.06505404709489,5.310608637279579,5.36380843493928,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,47,47,4.1686938347033296e+43,0
Mrk 110,Bentz2013,20.4,19.186687406702823,19.415884829107945,5.669100461304982,3.1326123315326377,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,49,49,4.897788193684437e+43,0
Mrk 110,Bentz2013,33.3,13.458603540559455,13.509732484409234,5.656395499507262,3.0717548292348003,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,34,34,2.951209226666378e+43,2
Mrk 335,Bentz2013,16.8,19.498445997580543,19.207257773586143,4.9715562313423085,4.793464822495652,0.5694444444444444,0.02579,962.0,-1.0,4.455284552845528,123,123,51,51,5.011872336272756e+43,0
Mrk 335,Bentz2013,12.5,22.181964198002227,22.5117056030745,5.023450863695249,5.012419512438086,0.5694444444444444,0.02579,962.0,-1.0,4.455284552845528,123,123,50,50,6.025595860743593e+43,0
Mrk 335,Bentz2013,14.3,18.879913490962927,18.282083510812768,1.4993947535716288,3.1631824227124152,1.0,0.02579,128.0,1.0,1.0,85,128,28,28,4.78630092322638e+43,0
Mrk 590,Bentz2013,20.7,14.82518085145956,15.868022069765498,11.262937595994476,4.249241545379194,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,46,46,3.388441561392034e+43,0
Mrk 590,Bentz2013,14.0,7.063175542629623,7.448517081430044,4.033618029213862,3.786118844735752,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,43,43,1.1748975549395304e+43,2
PG 2308+098,Hu2025,149.6,369.96951382847266,317.2814939016236,42.913432777620926,241.67198792928372,0.5466666666666666,0.4329,1195.0,8.0,8.0,84,82,-1,100,3.3570000000000005e+45,2
Mrk 590,Bentz2013,29.2,10.56817509213659,11.526148921360491,7.803157028998868,3.9677036106601236,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,46,46,2.0892961308540408e+43,2
Mrk 590,Bentz2013,28.8,16.33051947894343,19.647571726624392,11.600649353862977,7.452493313498833,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,42,42,3.8904514499428365e+43,1
Mrk 817,Bentz2013,19.0,20.464446367246634,17.480875906375054,2.6174622726104317,2.982909025392562,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,51,51,5.370317963702489e+43,0
Mrk 817,Bentz2013,15.3,16.865530253887396,14.563955169991926,2.4682128248891306,2.632157721646662,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,48,48,4.073802778041122e+43,0
Mrk 817,Bentz2013,33.6,16.865530253887396,14.57861445686936,2.505924101507528,2.6257627634064136,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,46,46,4.073802778041122e+43,2
Mrk 817,Bentz2013,14.04,22.181964198002227,22.04081507901514,0.5296526017439156,1.4098451422223057,1.0,0.03146,116.0,0.56,0.56,88,208,99,99,6.025595860743593e+43,0
NGC 3227,Bentz2013,3.75,1.853531623414818,1.7030710078866025,0.016950222539838355,0.16489858473012653,1.0,0.00386,84.0,0.45,0.45,75,187,107,107,1.7378008287493836e+42,2
NGC 3783,Bentz2013,10.2,3.0549211132155,2.9520048779984958,0.7196274867668184,0.728139831853261,0.7666666666666667,0.00973,240.0,2.0,2.0,120,92,19,19,3.548133892335731e+42,2
NGC 4051,Bentz2013,1.87,1.1803206356517317,0.9523727758768693,0.1614294703842657,0.006461906607490464,1.0,0.00234,116.0,0.45,0.45,108,258,70,70,9.120108393559116e+41,2
NGC 4151,Bentz2013,6.58,1.4554590805819743,1.2701484630747468,0.3238344025775437,0.08932899119046467,1.0,0.00332,41.0,1.0,1.0,34,41,44,44,1.2302687708123912e+42,2
PG 1352+183,Hu2025,50.7,58.02349303540501,57.09502841833098,14.136291022608617,18.000974551224516,0.6030534351145038,0.1507,914.0,7.0,7.0,75,79,185,185,2.38e+44,0
NGC 5548,Bentz2013,19.7,10.739894123412418,10.435260370260746,0.7651795023132504,1.5314399180650504,0.5013698630136987,0.01718,365.0,1.0,1.0,132,183,20,20,2.1379620895022237e+43,2
NGC 5548,Bentz2013,18.6,7.177942912713599,6.8777853069818375,0.7736907140775866,1.424495998057468,0.5027322404371585,0.01718,365.0,2.0,2.0,94,92,21,21,1.2022644346174082e+43,2
NGC 5548,Bentz2013,15.9,10.069316688518029,9.526471762833804,1.155025295089347,1.2359592984386722,0.5,0.01718,365.0,3.0,3.0,65,61,25,25,1.9498445997580415e+43,2
NGC 5548,Bentz2013,11.0,6.412095765851595,6.113136211314178,0.7535944760643467,0.8490647366063531,0.5027322404371585,0.01718,365.0,2.0,2.0,83,92,23,23,1.0232929922807495e+43,2
NGC 5548,Bentz2013,13.0,9.594006315159302,9.254950199049256,0.7493263822258509,1.1038478365668087,0.5013698630136987,0.01718,365.0,1.0,1.0,142,183,26,26,1.819700858609975e+43,0
NGC 5548,Bentz2013,13.4,10.56817509213659,10.094117696773601,0.7441475122767383,1.2827576670524135,0.5013698630136987,0.01718,365.0,1.0,1.0,128,183,23,23,2.0892961308540408e+43,0
NGC 5548,Bentz2013,21.7,13.243415351946663,12.817612029451285,0.8172833540532665,1.5548431249373067,0.5,0.01718,365.0,2.1,2.1,78,87,39,39,2.8840315031266117e+43,2
NGC 5548,Bentz2013,16.4,11.455129414455309,10.958786040863494,1.0170475857741472,1.2846600344578825,0.5013698630136987,0.01718,365.0,1.0,1.0,144,183,26,26,2.3442288153199083e+43,0
NGC 5548,Bentz2013,17.5,8.43334757764275,8.02656443918158,0.7991254395649907,1.1660802411621267,0.5030120481927711,0.01718,365.0,1.1,1.1,95,167,27,27,1.513561248436207e+43,2
